transaction_id,date,merchant_raw,description,amount,transaction_type,payment_method,category,subcategory,merchant_clean,description_clean,text_features,log_amount,full_target
TXN_C_000001,2025-10-07 02:37:00,RAZORPAY*UBER INDIA RIDES BANGALORE MUMBAI,Cab ride home from office commute,841.14,debit,Credit Card,EXPENSE,Transport,RAZORPAY INDIA RIDES BANGALORE MUMBAI,cab ride home from office commute,RAZORPAY INDIA RIDES BANGALORE MUMBAI cab ride home from office commute,6.73594627120472,EXPENSE::Transport
TXN_C_000002,2025-12-26 17:26:00,PAYTM*SBI ATM CASH WITHDRAWAL,ATM machine currency cash withdrawal,7302.19,transfer,Debit Card,TRANSFER,Cash Withdrawal,PAYTM ATM CASH WITHDRAWAL,atm machine currency cash withdrawal,PAYTM ATM CASH WITHDRAWAL atm machine currency cash withdrawal,8.896066517987144,TRANSFER::Cash Withdrawal
TXN_C_000003,2025-06-24 08:09:00,ENRICH SALON & SPA SERVICES,Hair styling facial skincare treatments ref:30926,3322.74,debit,UPI,EXPENSE,Personal Care,ENRICH SALON SPA SERVICES,hair styling facial skincare treatments,ENRICH SALON SPA SERVICES hair styling facial skincare treatments,8.108845933902835,EXPENSE::Personal Care
TXN_C_000004,2025-08-24 17:07:00,CRED-STEAM GAMES INDIA VALVE PUNE,Digital video game download purchase,3304.66,debit,UPI,EXPENSE,Entertainment,CRED STEAM GAMES INDIA VALVE PUNE,digital video game download purchase,CRED STEAM GAMES INDIA VALVE PUNE digital video game download purchase,8.103391429777048,EXPENSE::Entertainment
TXN_C_000005,2025-10-23 06:45:00,SWIGGY*BANGALORE RESTAURANT,Food delivery dinner order biryani,1231.28,debit,UPI,EXPENSE,Food,SWIGGY RESTAURANT,food delivery dinner order biryani,SWIGGY RESTAURANT food delivery dinner order biryani,7.116621390998204,EXPENSE::Food
TXN_C_000006,2025-02-21 12:17:00,SWIGGY*BANGALORE RESTAURANT,Food delivery dinner order biryani,1223.49,debit,Credit Card,EXPENSE,Food,SWIGGY RESTAURANT,food delivery dinner order biryani,SWIGGY RESTAURANT food delivery dinner order biryani,7.110279709760264,EXPENSE::Food
TXN_C_000007,2025-02-06 19:40:00,BHARATPE-PAYTM BUSINESS SETTLEMENT CR NOIDA,Shop sales disbursement,105696.67,credit,UPI,INCOME,Business Income,BHARATPE PAYTM BUSINESS SETTLEMENT CR NOIDA,shop sales disbursement,BHARATPE PAYTM BUSINESS SETTLEMENT CR NOIDA shop sales disbursement,11.568338128095972,INCOME::Business Income
TXN_C_000008,2025-01-29 07:52:00,CRED-CRED HDFC CARD BILL PAY DELHI,Monthly credit card outstanding bill payment,38478.35,transfer,UPI,TRANSFER,Credit Card Payment,CRED CRED HDFC CARD BILL PAY DELHI,monthly credit card outstanding bill payment,CRED CRED HDFC CARD BILL PAY DELHI monthly credit card outstanding bill payment,10.557877012745081,TRANSFER::Credit Card Payment
TXN_C_000009,2025-11-26 14:09:00,STEAM GAMES INDIA VALVE PUNE,Digital video game download purchase ref:75435,1823.27,debit,UPI,EXPENSE,Entertainment,STEAM GAMES INDIA VALVE PUNE,digital video game download purchase,STEAM GAMES INDIA VALVE PUNE digital video game download purchase,7.508935185995252,EXPENSE::Entertainment
TXN_C_000010,2025-07-05 07:08:00,RAZORPAY*SPOTIFY INDIA PREMIUM MUSIC,Individual music streaming monthly subscription,154.01,debit,Paytm,EXPENSE,Subscriptions,RAZORPAY INDIA PREMIUM MUSIC,individual music streaming monthly subscription,RAZORPAY INDIA PREMIUM MUSIC individual music streaming monthly subscription,5.043489630967203,EXPENSE::Subscriptions
