transaction_id,date,merchant_raw,description,amount,transaction_type,payment_method,category,subcategory
TXN_C_000001,2025-10-07 02:37:00,RAZORPAY*UBER INDIA RIDES BANGALORE MUMBAI,Cab ride home from office commute,841.14,debit,Credit Card,EXPENSE,Transport
TXN_C_000002,2025-12-26 17:26:00,PAYTM*SBI ATM CASH WITHDRAWAL,ATM machine currency cash withdrawal,7302.19,transfer,Debit Card,TRANSFER,Cash Withdrawal
TXN_C_000003,2025-06-24 08:09:00,ENRICH SALON & SPA SERVICES,Hair styling facial skincare treatments ref:30926,3322.74,debit,UPI,EXPENSE,Personal Care
TXN_C_000004,2025-08-24 17:07:00,CRED-STEAM GAMES INDIA VALVE PUNE,Digital video game download purchase,3304.66,debit,UPI,EXPENSE,Entertainment
TXN_C_000005,2025-10-23 06:45:00,SWIGGY*BANGALORE RESTAURANT,Food delivery dinner order biryani,1231.28,debit,UPI,EXPENSE,Food
TXN_C_000006,2025-02-21 12:17:00,SWIGGY*BANGALORE RESTAURANT,Food delivery dinner order biryani,1223.49,debit,Credit Card,EXPENSE,Food
TXN_C_000007,2025-02-06 19:40:00,BHARATPE-PAYTM BUSINESS SETTLEMENT CR NOIDA,Shop sales disbursement,105696.67,credit,UPI,INCOME,Business Income
TXN_C_000008,2025-01-29 07:52:00,CRED-CRED HDFC CARD BILL PAY DELHI,Monthly credit card outstanding bill payment,38478.35,transfer,UPI,TRANSFER,Credit Card Payment
TXN_C_000009,2025-11-26 14:09:00,STEAM GAMES INDIA VALVE PUNE,Digital video game download purchase ref:75435,1823.27,debit,UPI,EXPENSE,Entertainment
TXN_C_000010,2025-07-05 07:08:00,RAZORPAY*SPOTIFY INDIA PREMIUM MUSIC,Individual music streaming monthly subscription,154.01,debit,Paytm,EXPENSE,Subscriptions
TXN_C_000011,2025-08-05 19:04:00,ACCENTURE INDIA PAYROLL DIRECT,Monthly net salary credit ref:30969,207376.27,credit,Direct Deposit,INCOME,Salary
TXN_C_000012,2025-01-06 21:46:00,PAYTM WALLET TOPUP LOAD,Money transfer from bank account to wallet ref:82512,4373.51,transfer,UPI,TRANSFER,Other Transfer
TXN_C_000013,2025-05-31 13:10:00,IMPS/NEFT TO SISTER ACCOUNT,Inter-bank savings account funds transfer,15967.72,transfer,Net Banking,TRANSFER,Bank Transfer
TXN_C_000014,2025-09-17 03:55:00,ZEPTO QUICK COMMERCE,10-min grocery delivery milk bread curd ref:75612,1407.24,debit,Paytm,EXPENSE,Groceries
TXN_C_000015,2025-10-04 16:58:00,STARBUCKS COFFEE CONNAUGHT PL,Cappuccino and classic cold coffee ref:59009,783.76,debit,UPI,EXPENSE,Food
TXN_C_000016,2025-06-07 07:03:00,HALDIRAMS RESTAURANT NOIDA PUNE,North Indian thali and sweets,1298.0,debit,UPI,EXPENSE,Food
TXN_C_000017,2025-09-30 04:08:00,CROMA ELECTRONICS STORE STORE,Home appliance laptop monitor accessories,44035.72,debit,UPI,EXPENSE,Shopping
TXN_C_000018,2025-12-20 06:45:00,CRED RENTPAY DIRECT WIRE HYD,Monthly apartment lease payment to owner,61445.67,debit,UPI,EXPENSE,Rent & Housing
TXN_C_000019,2025-03-03 07:14:00,DELHI METRO DMRC CARD RECHARGE,Subway smart card automated reload,614.06,debit,UPI,EXPENSE,Transport
TXN_C_000020,2025-02-04 01:55:00,PAYTM*MYNTRA DESIGNS BANGALORE,Branded shirts jeans casual sneakers ref:92719,1346.5,debit,Credit Card,EXPENSE,Shopping
